dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
electricity,NFGA-LINEAR,proxy_robust_z,5.0,10,0,0.5699889927531488,0.0,0.0,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,Persistence,injected_10pct,2.0,1,4,0.31835175628672174,9.0,,0.4444444444444444,,1.0,,0.6153846153846154,,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable,0.6666666666666666,0.10526315789473684,-0.05128205128205121,0.02631578947368421
electricity,Persistence,injected_10pct,2.5,1,4,0.3706323375180787,9.0,,0.4444444444444444,,1.0,,0.6153846153846154,,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable,0.6666666666666666,0.10526315789473684,-0.05128205128205121,0.02631578947368421
electricity,Persistence,injected_10pct,3.0,1,4,0.4229129187494358,9.0,,0.4444444444444444,,1.0,,0.6153846153846154,,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable,0.6666666666666666,0.10526315789473684,-0.05128205128205121,0.02631578947368421
electricity,Persistence,injected_10pct,3.5,1,4,0.47519349998079286,8.0,,0.5,,1.0,,0.6666666666666666,,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable,0.6666666666666666,0.10526315789473684,0.0,0.0
electricity,Persistence,injected_10pct,4.0,1,4,0.52747408121215,8.0,,0.5,,1.0,,0.6666666666666666,,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable,0.6666666666666666,0.10526315789473684,0.0,0.0
electricity,Persistence,injected_10pct,4.5,1,4,0.579754662443507,8.0,,0.5,,1.0,,0.6666666666666666,,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable,0.6666666666666666,0.10526315789473684,0.0,0.0
electricity,Persistence,injected_10pct,5.0,1,4,0.632035243674864,8.0,,0.5,,1.0,,0.6666666666666666,,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable,0.6666666666666666,0.10526315789473684,0.0,0.0
electricity,Persistence,injected_5pct,2.0,1,2,0.31835175628672174,5.0,,0.4,,1.0,,0.5714285714285714,,0.925,0.075,0.9625,applicable,0.6666666666666666,0.05,-0.09523809523809523,0.024999999999999994
electricity,Persistence,injected_5pct,2.5,1,2,0.3706323375180787,5.0,,0.4,,1.0,,0.5714285714285714,,0.925,0.075,0.9625,applicable,0.6666666666666666,0.05,-0.09523809523809523,0.024999999999999994
electricity,Persistence,injected_5pct,3.0,1,2,0.4229129187494358,5.0,,0.4,,1.0,,0.5714285714285714,,0.925,0.075,0.9625,applicable,0.6666666666666666,0.05,-0.09523809523809523,0.024999999999999994
electricity,Persistence,injected_5pct,3.5,1,2,0.47519349998079286,4.0,,0.5,,1.0,,0.6666666666666666,,0.95,0.05,0.975,applicable,0.6666666666666666,0.05,0.0,0.0
electricity,Persistence,injected_5pct,4.0,1,2,0.52747408121215,4.0,,0.5,,1.0,,0.6666666666666666,,0.95,0.05,0.975,applicable,0.6666666666666666,0.05,0.0,0.0
electricity,Persistence,injected_5pct,4.5,1,2,0.579754662443507,4.0,,0.5,,1.0,,0.6666666666666666,,0.95,0.05,0.975,applicable,0.6666666666666666,0.05,0.0,0.0
electricity,Persistence,injected_5pct,5.0,1,2,0.632035243674864,4.0,,0.5,,1.0,,0.6666666666666666,,0.95,0.05,0.975,applicable,0.6666666666666666,0.05,0.0,0.0
electricity,Persistence,proxy_robust_z,2.0,1,0,0.31835175628672174,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference,,0.0,,0.023809523809523808
electricity,Persistence,proxy_robust_z,2.5,1,0,0.3706323375180787,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference,,0.0,,0.023809523809523808
electricity,Persistence,proxy_robust_z,3.0,1,0,0.4229129187494358,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference,,0.0,,0.023809523809523808
electricity,Persistence,proxy_robust_z,3.5,1,0,0.47519349998079286,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,Persistence,proxy_robust_z,4.0,1,0,0.52747408121215,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,Persistence,proxy_robust_z,4.5,1,0,0.579754662443507,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,Persistence,proxy_robust_z,5.0,1,0,0.632035243674864,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
electricity,SeasonalNaive,injected_10pct,2.0,1,4,0.3606166482893427,5.0,,0.8,,1.0,,0.8888888888888888,,0.9736842105263158,0.02631578947368421,0.986842105263158,applicable,1.0,0.0,-0.11111111111111116,0.02631578947368421
electricity,SeasonalNaive,injected_10pct,2.5,1,4,0.41840178873040235,5.0,,0.8,,1.0,,0.8888888888888888,,0.9736842105263158,0.02631578947368421,0.986842105263158,applicable,1.0,0.0,-0.11111111111111116,0.02631578947368421
