dataset,model,k_mad,n_runs,macro_F1_mean,macro_F1_std,macro_Precision_mean,macro_Recall_mean,macro_FalsePositiveRate_mean,baseline_macro_F1_mean,baseline_macro_FalsePositiveRate_mean,macro_F1_change_vs_baseline,macro_FalsePositiveRate_change_vs_baseline
electricity,XGBoost,4.5,10,0.8200000000000001,0.0664192941376589,0.7033333333333334,1.0,0.034868421052631576,0.6683982683982684,0.07197368421052631,0.15160173160173163,-0.03710526315789474
electricity,XGBoost,5.0,10,0.9733333333333333,0.03673954597818443,0.9533333333333334,1.0,0.005197368421052631,0.6683982683982684,0.07197368421052631,0.30493506493506484,-0.06677631578947368
ilinet,ARIMA,2.0,1,0.30341880341880345,,0.18154761904761904,1.0,0.3844984802431611,0.3537549407114624,0.3015631784628745,-0.050336137292658956,0.08293530178028657
ilinet,ARIMA,2.5,1,0.33739130434782605,,0.20707070707070707,1.0,0.3321754233608337,0.3537549407114624,0.3015631784628745,-0.016363636363636358,0.030612244897959218
ilinet,ARIMA,3.0,1,0.34782608695652173,,0.2138888888888889,1.0,0.3117672600955276,0.3537549407114624,0.3015631784628745,-0.005928853754940677,0.010204081632653073
ilinet,ARIMA,3.5,1,0.3537549407114624,,0.21783625730994152,1.0,0.3015631784628745,0.3537549407114624,0.3015631784628745,0.0,0.0
ilinet,ARIMA,4.0,1,0.36363636363636365,,0.2260061919504644,1.0,0.29092488059053406,0.3537549407114624,0.3015631784628745,0.00988142292490124,-0.010638297872340441
ilinet,ARIMA,4.5,1,0.38809523809523805,,0.24448529411764708,1.0,0.25987841945288753,0.3537549407114624,0.3015631784628745,0.03434029738377564,-0.04168475900998697
ilinet,ARIMA,5.0,1,0.40476190476190477,,0.25625,1.0,0.23947025618758142,0.3537549407114624,0.3015631784628745,0.05100696405044236,-0.06209292227529309
ilinet,LSTM,2.0,10,0.38877333880429854,0.06493007714625312,0.2552817024979328,0.93,0.2424229266174555,0.43904357897004953,0.1506079027355623,-0.05027024016575099,0.09181502388189319
ilinet,LSTM,2.5,10,0.40531054910002273,0.06970049377699433,0.27413724433461273,0.89,0.20720798957881023,0.43904357897004953,0.1506079027355623,-0.0337330298700268,0.05660008684324794
ilinet,LSTM,3.0,10,0.4182177871148459,0.0567224874685662,0.28936674436674437,0.8400000000000001,0.17127659574468085,0.43904357897004953,0.1506079027355623,-0.020825791855203613,0.020668693009118555
ilinet,LSTM,3.5,10,0.43904357897004953,0.050753989770342456,0.30893398268398264,0.8300000000000001,0.1506079027355623,0.43904357897004953,0.1506079027355623,0.0,0.0
ilinet,LSTM,4.0,10,0.45078754578754576,0.0252195208554421,0.3221590909090909,0.8099999999999999,0.1351715154146765,0.43904357897004953,0.1506079027355623,0.011743966817496232,-0.015436387320885786
ilinet,LSTM,4.5,10,0.4607892107892108,0.03727131423327249,0.3361363636363636,0.79,0.12270950933564914,0.43904357897004953,0.1506079027355623,0.021745631819161282,-0.02789839339991315
ilinet,LSTM,5.0,10,0.4648601398601399,0.04611063468914073,0.3416666666666667,0.78,0.1175640468953539,0.43904357897004953,0.1506079027355623,0.02581656089009038,-0.0330438558402084
ilinet,NFGA-Core,2.0,10,0.5166183816183816,0.033799304553453195,0.38303571428571426,0.8300000000000001,0.10625271385149804,0.27234848484848484,0.059552757273122016,0.24426989676989674,0.04669995657837602
ilinet,NFGA-Core,2.5,10,0.5008469308469309,0.06399847607876913,0.38779761904761906,0.7366666666666667,0.09072948328267477,0.27234848484848484,0.059552757273122016,0.22849844599844604,0.031176726009552756
ilinet,NFGA-Core,3.0,10,0.38883838383838387,0.1175786911324439,0.315,0.5266666666666666,0.07627008250108554,0.27234848484848484,0.059552757273122016,0.11648989898989903,0.01671732522796352
ilinet,NFGA-Core,3.5,10,0.27234848484848484,0.1363798906343677,0.2525,0.31,0.059552757273122016,0.27234848484848484,0.059552757273122016,0.0,0.0
ilinet,NFGA-Core,4.0,10,0.18202380952380953,0.18531439653193257,0.2,0.17333333333333334,0.04292227529309596,0.27234848484848484,0.059552757273122016,-0.09032467532467531,-0.016630481980026056
ilinet,NFGA-Core,4.5,10,0.16611111111111113,0.1545037189745112,0.2125,0.14333333333333334,0.02833260963960052,0.27234848484848484,0.059552757273122016,-0.10623737373737371,-0.031220147633521496
ilinet,NFGA-Core,5.0,10,0.05,0.10540925533894598,0.1,0.03333333333333333,0.009444203213200175,0.27234848484848484,0.059552757273122016,-0.22234848484848485,-0.050108554059921845
ilinet,NFGA-LINEAR,2.0,10,0.37294928526850724,0.034344832892170246,0.23366891772658027,1.0,0.2826747720364742,0.4669203646370829,0.18577941815023882,-0.09397107936857568,0.09689535388623535
ilinet,NFGA-LINEAR,2.5,10,0.4085952626664701,0.03645439195131146,0.26285795087265673,0.99,0.23788536691272255,0.4669203646370829,0.18577941815023882,-0.0583251019706128,0.05210594876248373
ilinet,NFGA-LINEAR,3.0,10,0.44172533048307044,0.03006780646751732,0.28956272893772894,0.99,0.20475466782457663,0.4669203646370829,0.18577941815023882,-0.025195034154012474,0.018975249674337807
