dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,LSTM,44,proxy_robust_z,84,3.17414434300008,0.00983989491666242,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,62,,,,not_applicable_no_positive_reference
cholera,LSTM,55,forecast_original,84,4.928303336000681,0.009857106119062294,19588,4897,113.59828415813446,small,16,0.001,15,190.1140358095734,121.30033209024826,58.69182251093177,0.8128253659118341,0.8128253659118341,0,28,,,,forecast_only
cholera,LSTM,55,injected_5pct,84,4.928303336000681,0.010029377142873705,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,70,0.05714285714285714,1.0,0.10810810810810811,applicable
cholera,LSTM,55,injected_10pct,84,4.928303336000681,0.01022564588093441,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,40,0.15,0.75,0.25,applicable
cholera,LSTM,55,proxy_robust_z,84,4.928303336000681,0.010556028642830435,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,28,,,,not_applicable_no_positive_reference
cholera,LSTM,66,forecast_original,84,3.081518992000383,0.010080889238127253,19588,4897,113.59828415813446,small,16,0.001,15,224.94680630084542,180.24870639055013,116.79308752330061,0.7379535422650887,0.7379535422650887,0,66,,,,forecast_only
cholera,LSTM,66,injected_5pct,84,3.081518992000383,0.01038246867860185,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,77,0.05194805194805195,1.0,0.09876543209876543,applicable
cholera,LSTM,66,injected_10pct,84,3.081518992000383,0.009847280892840683,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,75,0.08,0.75,0.14457831325301204,applicable
cholera,LSTM,66,proxy_robust_z,84,3.081518992000383,0.014786751523821468,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,66,,,,not_applicable_no_positive_reference
cholera,LSTM,77,forecast_original,84,4.056170716000452,0.010134838440448914,19588,4897,113.59828415813446,small,16,0.001,15,200.7410556244792,146.93571411945055,102.53392354021894,0.791315094306475,0.791315094306475,0,33,,,,forecast_only
cholera,LSTM,77,injected_5pct,84,4.056170716000452,0.01036490566663079,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,46,0.08695652173913043,1.0,0.16,applicable
cholera,LSTM,77,injected_10pct,84,4.056170716000452,0.010375683690491704,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,36,0.16666666666666666,0.75,0.2727272727272727,applicable
cholera,LSTM,77,proxy_robust_z,84,4.056170716000452,0.010440021428567411,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,33,,,,not_applicable_no_positive_reference
cholera,LSTM,88,forecast_original,84,3.0638642910007547,0.00984883641662496,19588,4897,113.59828415813446,small,16,0.001,15,146.37449081692472,120.05147454483297,49.832606007024935,0.889044349259273,0.889044349259273,0,30,,,,forecast_only
cholera,LSTM,88,injected_5pct,84,3.0638642910007547,0.011488230059545199,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,57,0.07017543859649122,1.0,0.13114754098360656,applicable
cholera,LSTM,88,injected_10pct,84,3.0638642910007547,0.014427787583361436,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,48,0.16666666666666666,1.0,0.2857142857142857,applicable
cholera,LSTM,88,proxy_robust_z,84,3.0638642910007547,0.01480022541664723,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,30,,,,not_applicable_no_positive_reference
cholera,LSTM,99,forecast_original,84,3.5505760430005466,0.009991453642853577,19588,4897,113.59828415813446,small,16,0.001,15,200.40006780692482,140.70365612546954,85.91014707911138,0.7920234553676865,0.7920234553676865,0,31,,,,forecast_only
cholera,LSTM,99,injected_5pct,84,3.5505760430005466,0.01004297757149938,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,54,0.07407407407407407,1.0,0.13793103448275862,applicable
cholera,LSTM,99,injected_10pct,84,3.5505760430005466,0.010066061309479275,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,37,0.16216216216216217,0.75,0.26666666666666666,applicable
cholera,LSTM,99,proxy_robust_z,84,3.5505760430005466,0.010321366630932971,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,31,,,,not_applicable_no_positive_reference
cholera,LSTM,110,forecast_original,84,3.115108588000112,0.011193041297593439,19588,4897,113.59828415813446,small,16,0.001,15,210.21753061401387,156.04782156170594,100.4585764820354,0.7711470628703859,0.7711470628703859,0,36,,,,forecast_only
cholera,LSTM,110,injected_5pct,84,3.115108588000112,0.013736063059446852,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,4,53,0.07547169811320754,1.0,0.14035087719298245,applicable
cholera,LSTM,110,injected_10pct,84,3.115108588000112,0.014719458809568528,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,8,42,0.14285714285714285,0.75,0.24,applicable
cholera,LSTM,110,proxy_robust_z,84,3.115108588000112,0.015427678547645146,19588,4897,113.59828415813446,small,16,0.001,15,,,,,,0,36,,,,not_applicable_no_positive_reference
