dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
ilinet,IsolationForest,independent_window_detector,True,22,injected_10pct,24,148,37,0.05,0.12293160237716994,0.7788799520003522,0.0006744702692370852,2894353,1,7,40,4,5,8,0.125,0.2,0.15384615384615385,0.851063829787234,0.14893617021276595,0.5255319148936171,applicable
ilinet,IsolationForest,independent_window_detector,True,22,proxy_robust_z,24,148,37,0.05,0.12293160237716994,0.7788799520003522,0.0003736493846155589,2894353,0,13,28,11,11,13,0.0,0.0,0.0,0.6829268292682927,0.3170731707317073,0.34146341463414637,applicable
ilinet,IsolationForest,independent_window_detector,True,33,injected_5pct,24,148,37,0.05,0.11339578137857975,0.5467838539998411,0.0003593731923081997,2822712,1,13,36,2,3,14,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.7346938775510204,0.2653061224489796,0.5340136054421769,applicable
ilinet,IsolationForest,independent_window_detector,True,33,injected_10pct,24,148,37,0.05,0.11339578137857975,0.5467838539998411,0.00037786053847482364,2822712,1,10,37,4,5,11,0.09090909090909091,0.2,0.125,0.7872340425531915,0.2127659574468085,0.4936170212765958,applicable
ilinet,IsolationForest,independent_window_detector,True,33,proxy_robust_z,24,148,37,0.05,0.11339578137857975,0.5467838539998411,0.0003414502307700437,2822712,0,14,27,11,11,14,0.0,0.0,0.0,0.6585365853658537,0.34146341463414637,0.32926829268292684,applicable
ilinet,IsolationForest,independent_window_detector,True,44,injected_5pct,24,148,37,0.05,0.10839048848428756,0.5489552219996767,0.00036780423077358975,2920049,1,16,33,2,3,17,0.058823529411764705,0.3333333333333333,0.1,0.673469387755102,0.32653061224489793,0.5034013605442177,applicable
ilinet,IsolationForest,independent_window_detector,True,44,injected_10pct,24,148,37,0.05,0.10839048848428756,0.5489552219996767,0.0004226842307581627,2920049,1,14,33,4,5,15,0.06666666666666667,0.2,0.1,0.7021276595744681,0.2978723404255319,0.451063829787234,applicable
ilinet,IsolationForest,independent_window_detector,True,44,proxy_robust_z,24,148,37,0.05,0.10839048848428756,0.5489552219996767,0.00037616507692151714,2920049,2,14,27,9,11,16,0.125,0.18181818181818182,0.14814814814814814,0.6585365853658537,0.34146341463414637,0.42017738359201773,applicable
ilinet,IsolationForest,independent_window_detector,True,55,injected_5pct,24,148,37,0.05,0.10982553713631793,0.5767985279999266,0.00036068015384234267,2824472,1,15,34,2,3,16,0.0625,0.3333333333333333,0.10526315789473684,0.6938775510204082,0.30612244897959184,0.5136054421768708,applicable
ilinet,IsolationForest,independent_window_detector,True,55,injected_10pct,24,148,37,0.05,0.10982553713631793,0.5767985279999266,0.0004207768076867069,2824472,1,13,34,4,5,14,0.07142857142857142,0.2,0.10526315789473684,0.723404255319149,0.2765957446808511,0.4617021276595745,applicable
ilinet,IsolationForest,independent_window_detector,True,55,proxy_robust_z,24,148,37,0.05,0.10982553713631793,0.5767985279999266,0.00035946599999848474,2824472,1,14,27,10,11,15,0.06666666666666667,0.09090909090909091,0.07692307692307693,0.6585365853658537,0.34146341463414637,0.3747228381374723,applicable
ilinet,IsolationForest,independent_window_detector,True,66,injected_5pct,24,148,37,0.05,0.10193209685358018,0.5677307879996079,0.0003508800384504586,2822008,1,16,33,2,3,17,0.058823529411764705,0.3333333333333333,0.1,0.673469387755102,0.32653061224489793,0.5034013605442177,applicable
ilinet,IsolationForest,independent_window_detector,True,66,injected_10pct,24,148,37,0.05,0.10193209685358018,0.5677307879996079,0.0003560947692186836,2822008,1,14,33,4,5,15,0.06666666666666667,0.2,0.1,0.7021276595744681,0.2978723404255319,0.451063829787234,applicable
ilinet,IsolationForest,independent_window_detector,True,66,proxy_robust_z,24,148,37,0.05,0.10193209685358018,0.5677307879996079,0.0003463000769338228,2822008,2,15,26,9,11,17,0.11764705882352941,0.18181818181818182,0.14285714285714285,0.6341463414634146,0.36585365853658536,0.4079822616407982,applicable
ilinet,IsolationForest,independent_window_detector,True,77,injected_5pct,24,148,37,0.05,0.10001295634981666,0.5612593220002964,0.0003968061153745321,2883793,1,17,32,2,3,18,0.05555555555555555,0.3333333333333333,0.09523809523809523,0.6530612244897959,0.3469387755102041,0.4931972789115646,applicable
ilinet,IsolationForest,independent_window_detector,True,77,injected_10pct,24,148,37,0.05,0.10001295634981666,0.5612593220002964,0.0003718260384700373,2883793,1,15,32,4,5,16,0.0625,0.2,0.09523809523809523,0.6808510638297872,0.3191489361702128,0.44042553191489364,applicable
ilinet,IsolationForest,independent_window_detector,True,77,proxy_robust_z,24,148,37,0.05,0.10001295634981666,0.5612593220002964,0.00037192667307933263,2883793,2,15,26,9,11,17,0.11764705882352941,0.18181818181818182,0.14285714285714285,0.6341463414634146,0.36585365853658536,0.4079822616407982,applicable
ilinet,IsolationForest,independent_window_detector,True,88,injected_5pct,24,148,37,0.05,0.10630252959529418,0.6549863540003571,0.0009380673269123901,2751599,1,16,33,2,3,17,0.058823529411764705,0.3333333333333333,0.1,0.673469387755102,0.32653061224489793,0.5034013605442177,applicable
ilinet,IsolationForest,independent_window_detector,True,88,injected_10pct,24,148,37,0.05,0.10630252959529418,0.6549863540003571,0.0009888299615480579,2751599,1,14,33,4,5,15,0.06666666666666667,0.2,0.1,0.7021276595744681,0.2978723404255319,0.451063829787234,applicable
ilinet,IsolationForest,independent_window_detector,True,88,proxy_robust_z,24,148,37,0.05,0.10630252959529418,0.6549863540003571,0.000763441846157338,2751599,1,15,26,10,11,16,0.0625,0.09090909090909091,0.07407407407407407,0.6341463414634146,0.36585365853658536,0.3625277161862528,applicable
ilinet,IsolationForest,independent_window_detector,True,99,injected_5pct,24,148,37,0.05,0.11731278471323558,0.8022727899997335,0.0010469514807727347,2864609,1,16,33,2,3,17,0.058823529411764705,0.3333333333333333,0.1,0.673469387755102,0.32653061224489793,0.5034013605442177,applicable
ilinet,IsolationForest,independent_window_detector,True,99,injected_10pct,24,148,37,0.05,0.11731278471323558,0.8022727899997335,0.0010947766346152304,2864609,1,11,36,4,5,12,0.08333333333333333,0.2,0.11764705882352941,0.7659574468085106,0.23404255319148937,0.4829787234042553,applicable
ilinet,IsolationForest,independent_window_detector,True,99,proxy_robust_z,24,148,37,0.05,0.11731278471323558,0.8022727899997335,0.0011924149230778242,2864609,1,15,26,10,11,16,0.0625,0.09090909090909091,0.07407407407407407,0.6341463414634146,0.36585365853658536,0.3625277161862528,applicable
ilinet,IsolationForest,independent_window_detector,True,110,injected_5pct,24,148,37,0.05,0.10754475441161859,0.7836099899996043,0.0007786456922950982,2891185,1,17,32,2,3,18,0.05555555555555555,0.3333333333333333,0.09523809523809523,0.6530612244897959,0.3469387755102041,0.4931972789115646,applicable
ilinet,IsolationForest,independent_window_detector,True,110,injected_10pct,24,148,37,0.05,0.10754475441161859,0.7836099899996043,0.0014628993653786893,2891185,1,12,35,4,5,13,0.07692307692307693,0.2,0.1111111111111111,0.7446808510638298,0.2553191489361702,0.4723404255319149,applicable
