dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,NFGA-Core,core,44,injected_5pct,84,8,1.0190172829998119,6.439436904093738e-05,3456,40,0.32144219539229235,795.5579964812515,0.20897478926416072,0.12499999999997331,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-Core,core,44,injected_10pct,84,8,1.0190172829998119,6.129834523129656e-05,3456,40,0.32144219539229235,795.5579964812515,0.20250734626266614,0.12499999999997437,,,,,,8,4,0.75,0.375,0.5,applicable
cholera,NFGA-Core,core,44,proxy_robust_z,84,8,1.0190172829998119,7.416576194633048e-05,3456,40,0.32144219539229235,795.5579964812515,0.19049747387760319,0.12499999999997614,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,55,forecast_original,84,8,1.0089277710003444,7.366947615342465e-05,3456,40,0.3130338629514668,795.5579964812515,0.32251920502256715,0.12499999999995938,347.6728160973411,325.28784827065414,88.78913995745023,0.37402051449308005,0.37402051449308005,0,0,,,,forecast_only
cholera,NFGA-Core,core,55,injected_5pct,84,8,1.0089277710003444,6.38899404986573e-05,3456,40,0.3130338629514668,795.5579964812515,0.3741616417600347,0.12499999999995107,,,,,,4,11,0.36363636363636365,1.0,0.5333333333333333,applicable
cholera,NFGA-Core,core,55,injected_10pct,84,8,1.0089277710003444,6.306748805616822e-05,3456,40,0.3130338629514668,795.5579964812515,0.35594293879686423,0.12499999999995405,,,,,,8,6,0.8333333333333334,0.625,0.7142857142857143,applicable
cholera,NFGA-Core,core,55,proxy_robust_z,84,8,1.0089277710003444,6.294064286564771e-05,3456,40,0.3130338629514668,795.5579964812515,0.32251920502256715,0.12499999999995938,,,,,,0,0,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,66,forecast_original,84,8,1.012888789000499,7.369673810552784e-05,3456,36,0.3024286728338875,795.5579964812515,0.23951525374053867,0.12499999999996965,370.04410364338,300.0443650430642,81.53673251707907,0.2908704108758605,0.2908704108758605,0,3,,,,forecast_only
cholera,NFGA-Core,core,66,injected_5pct,84,8,1.012888789000499,7.216121435877063e-05,3456,36,0.3024286728338875,795.5579964812515,0.2719586191023514,0.1249999999999624,,,,,,4,24,0.16666666666666666,1.0,0.2857142857142857,applicable
cholera,NFGA-Core,core,66,injected_10pct,84,8,1.012888789000499,6.243857144129703e-05,3456,36,0.3024286728338875,795.5579964812515,0.26207138483628445,0.12499999999996488,,,,,,8,8,0.375,0.375,0.375,applicable
cholera,NFGA-Core,core,66,proxy_robust_z,84,8,1.012888789000499,7.094258337149637e-05,3456,36,0.3024286728338875,795.5579964812515,0.23951525374053867,0.12499999999996965,,,,,,0,3,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,77,forecast_original,84,8,1.0463730920000671,7.170340472839598e-05,3456,40,0.4403133263866605,795.5579964812515,0.6780584490419327,0.1249999999999136,408.5204325566,392.4884750014361,97.11625002758232,0.13573645164440706,0.13573645164440706,0,2,,,,forecast_only
cholera,NFGA-Core,core,77,injected_5pct,84,8,1.0463730920000671,6.266127381119684e-05,3456,40,0.4403133263866605,795.5579964812515,0.6473084499553463,0.12499999999990524,,,,,,4,4,1.0,1.0,1.0,applicable
cholera,NFGA-Core,core,77,injected_10pct,84,8,1.0463730920000671,6.278284519924324e-05,3456,40,0.4403133263866605,795.5579964812515,0.6606164241745933,0.12499999999990803,,,,,,8,3,1.0,0.375,0.5454545454545454,applicable
cholera,NFGA-Core,core,77,proxy_robust_z,84,8,1.0463730920000671,6.53525951942616e-05,3456,40,0.4403133263866605,795.5579964812515,0.6780584490419327,0.1249999999999136,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,88,forecast_original,84,8,1.0170969920000061,6.505070241690278e-05,3456,40,0.34253822449073423,795.5579964812515,0.31905056047757496,0.12499999999995833,668.1027458537292,525.1182317013322,196.14910920623564,-1.311559855497785,-1.311559855497785,0,36,,,,forecast_only
cholera,NFGA-Core,core,88,injected_5pct,84,8,1.0170969920000061,6.809488095747102e-05,3456,40,0.34253822449073423,795.5579964812515,0.3336899286912495,0.12499999999994182,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-Core,core,88,injected_10pct,84,8,1.0170969920000061,5.780334527116793e-05,3456,40,0.34253822449073423,795.5579964812515,0.3282156071194827,0.12499999999994811,,,,,,8,13,0.23076923076923078,0.375,0.2857142857142857,applicable
cholera,NFGA-Core,core,88,proxy_robust_z,84,8,1.0170969920000061,6.478564282155102e-05,3456,40,0.34253822449073423,795.5579964812515,0.31905056047757496,0.12499999999995833,,,,,,0,36,,,,not_applicable_no_positive_reference
cholera,NFGA-Core,core,99,forecast_original,84,8,1.3304370060004658,9.751926194483185e-05,3456,40,0.38725741556006826,795.5579964812515,0.4714083326449068,0.12499999999994078,558.8484875180194,469.1215086824248,91.99856404735824,-0.6173603421163953,-0.6173603421163953,0,2,,,,forecast_only
cholera,NFGA-Core,core,99,injected_5pct,84,8,1.3304370060004658,0.00013123105945634874,3456,40,0.38725741556006826,795.5579964812515,0.47845412842021606,0.1249999999999386,,,,,,4,44,0.09090909090909091,1.0,0.16666666666666666,applicable
