dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,K_max__4,K_max,4,22,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,22,0.5181774590000714,8.193110716092633e-05,1696,125.71609396881108,106.7616178909957,45.8525896490531,0.9181534480624037,0.9181534480624037
cholera,K_max__4,K_max,4,33,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,0.976296924000053,6.606036902753875e-05,1696,135.60425115611247,107.6586286332171,102.5276459344681,0.9047718736074217,0.9047718736074217
cholera,K_max__4,K_max,4,44,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,0.9456356560003769,0.00012391542858971487,1696,119.28174629766316,100.04647013173974,45.42705849221281,0.9263171174780308,0.9263171174780308
cholera,K_max__4,K_max,4,55,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,2.870651358000032,0.00036759886905288327,1696,118.32678490209956,86.20967598317374,78.09084725912288,0.927492194882734,0.927492194882734
cholera,K_max__4,K_max,4,66,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,23,2.142609784999877,0.0002984796905517821,1696,156.39899957955123,132.0946488232614,107.93182777296826,0.8733262662706697,0.8733262662706697
cholera,K_max__4,K_max,4,77,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,31,2.066484567999396,0.0003367897499434288,1696,107.71603690577476,71.13028558245723,46.8889022777421,0.9399131602421762,0.9399131602421762
cholera,K_max__4,K_max,4,88,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,3.4876246730000275,0.00023348950001144701,1696,156.16940738258123,142.4880270673581,56.089422815828506,0.8736979048860483,0.8736979048860483
cholera,K_max__4,K_max,4,99,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,2.3815448089999336,0.00011222607139686824,2544,100.63366495587196,62.427856999944844,33.087867043735486,0.9475548648286407,0.9475548648286407
cholera,K_max__4,K_max,4,110,52,2,4,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,12,0.4295984899999894,0.0001185155715250273,1696,186.9780926251452,174.66709116233866,62.213607024418984,0.8189493532316938,0.8189493532316938
cholera,K_max__12,K_max,12,11,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.136192015999768,6.745178573163728e-05,2544,103.25138747788189,66.55390177894938,42.294785911591404,0.9447909310919352,0.9447909310919352
cholera,K_max__12,K_max,12,22,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.0992863279998346,6.635163092704759e-05,1696,96.36598825322494,60.19531943071955,22.818022489774453,0.9519087362961207,0.9519087362961207
cholera,K_max__12,K_max,12,33,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,34,0.9330889600005321,6.819428574003506e-05,2544,178.1894482157501,166.0057149819167,61.06806744722482,0.8355694171693614,0.8355694171693614
cholera,K_max__12,K_max,12,44,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,40,1.1508405189997575,6.481519046376758e-05,3392,100.87172340564734,71.39860153485286,30.347607537950914,0.9473064434913953,0.9473064434913953
cholera,K_max__12,K_max,12,55,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,36,1.0218743939994965,6.831138087666962e-05,3392,114.15458780860112,81.05966255358906,72.63087356636109,0.9325152923785228,0.9325152923785228
cholera,K_max__12,K_max,12,66,52,2,12,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,27,0.7651172510004471,6.353280949562239e-05,1696,116.82061141422885,86.06114787485872,31.694251883965624,0.9293263404615373,0.9293263404615373
