dataset,config_id,factor,level,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,K_mean,K_std,training_time_mean_sec,inference_latency_mean_sec,model_size_mean_bytes,generations_mean,baseline_RMSE_mean,baseline_MAE_mean,baseline_sMAPE_mean,baseline_training_time_mean_sec,baseline_model_size_mean_bytes,RMSE_change_percent_vs_baseline,training_time_change_percent_vs_baseline,model_size_change_percent_vs_baseline
cholera,window_size__half,window_size,half,10,148.3059896117866,58.77606085462479,124.02539553631796,64.90751968879997,56.77061978659113,32.852458303632396,0.8699954344704238,0.10497190240728452,3.6,1.3498971154211057,0.9475825962997988,8.445428334198368e-05,1555.2,33.3,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,8.990583715802735,7.031889921213684,-26.64150943396226
cholera,window_size__one_point_five,window_size,one_point_five,10,129.7925443351585,30.54563744582407,99.78658214360362,35.75179765149099,65.49543758841273,38.767893933163485,0.9084108040006239,0.045374446786454845,3.0,1.0540925533894598,1.058141380900088,8.600917143493937e-05,3792.0,34.4,136.07229593200486,110.95992734876195,59.17035447242713,0.8853273514999274,2120.0,-4.615011126132784,19.519788822448316,78.86792452830188
electricity,K_max__12,K_max,12,10,0.15186183847339577,0.0033072661385947313,0.11517674957780191,0.003249434105339166,12.26663242339001,0.3419453484109884,0.5731052450781828,0.01843083144963772,8.3,2.4517567397911058,0.9201892389000023,7.213983809985317e-05,2257.6,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,2.704221166961407,-8.036925533404421,15.277777777777768
electricity,K_max__4,K_max,4,10,0.15067414572146082,0.003145207554236599,0.11599371404276489,0.0032453502981305716,12.35168185631913,0.2896743525700875,0.5797710915583857,0.01741890016280224,3.8,0.42163702135578396,0.8601277934999416,8.273964763031386e-05,1033.6,39.1,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,1.9009840910814548,-14.039424739437168,-47.22222222222223
electricity,baseline,baseline,reference,10,0.14786328813741856,0.0031219859497253494,0.11339359949008301,0.0035836285573955513,12.07877790382091,0.3008088951996234,0.5953000951448085,0.01714634195507334,7.2,0.9189365834726816,1.000607302699791,8.716889285443315e-05,1958.4,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,0.0,0.0,0.0
electricity,crossover_probability__0.70,crossover_probability,0.70,10,0.1484025350192005,0.004042840585072915,0.1140788108107601,0.0034195532980547724,12.224137224857266,0.3968482927071158,0.5922342055790525,0.022072877437360992,7.0,1.4907119849998598,0.8004603442001098,6.759578573110048e-05,1904.0,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,0.3646928785195082,-20.00254824841416,-2.777777777777782
electricity,ga_budget__large_40x60,ga_budget,large_40x60,10,0.14506719841788648,0.004427569816790683,0.1139126754872749,0.0034504825447227963,12.0358546285349,0.41697724300459976,0.6102908848950361,0.023570894515889392,7.6,1.2649110640673518,2.201636972599954,8.882607380222734e-05,2067.2,59.4,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,-1.8909965784972225,120.03007240298984,5.555555555555541
electricity,ga_budget__small_15x20,ga_budget,small_15x20,10,0.14925877183742603,0.002461186225033635,0.11510450395316543,0.0036948577939301583,12.19247695488596,0.4003625658024488,0.5876897224223085,0.013441042021462483,5.3,1.766981104093143,0.295056310000291,9.240242619896543e-05,1441.6,20.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,0.9437661758952376,-70.51227697377541,-26.388888888888896
electricity,lambda_rules__0,lambda_rules,0,10,0.1492895024710014,0.00271248556951638,0.11488879504733548,0.0030530198629895927,12.194649154780157,0.32826190280985545,0.5874983161193554,0.014942579205169193,7.6,1.2649110640673518,0.9476311777001684,9.494817618577231e-05,2067.2,39.2,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,0.964549315484833,-5.294397198250005,5.555555555555541
electricity,lambda_rules__0.02,lambda_rules,0.02,10,0.15126168872058093,0.006441065837469315,0.11606962548580628,0.00581767148223858,12.344308820226289,0.6306094017331451,0.5759625469334158,0.03549366290893851,3.0,1.247219128924647,0.8372030842999265,8.013933093458209e-05,816.0,38.8,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,2.298339652777118,-16.330504280647865,-58.333333333333336
electricity,mutation_probability__high_0.45,mutation_probability,high_0.45,10,0.1478291322497685,0.00617024448090213,0.11280573178563531,0.006464457573910039,12.139000908075761,0.646953540816855,0.5950152816021455,0.03359181723252593,7.1,1.5238839267549946,0.9694031771000482,9.183288092182401e-05,1931.2,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,-0.023099640269261118,-3.118518675163508,-1.388888888888891
electricity,mutation_probability__low_0.15,mutation_probability,low_0.15,10,0.14897443400293076,0.005799885842085803,0.11454718138513635,0.0053648658855959905,12.224499324364846,0.49558423152060177,0.5887994457700038,0.03216782363222232,7.4,0.699205898780101,0.8793706195000596,7.937161666892019e-05,2012.8,40.0,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,0.7514683864459585,-12.11631005216696,2.7777777777777706
electricity,window_size__half,window_size,half,10,0.14476303495581327,0.004517037187184003,0.11554008417146049,0.0046100637721601485,12.103617034316997,0.6044052494493901,0.6119086899020865,0.023858887813025236,7.0,1.247219128924647,0.916971070099953,9.03829357173977e-05,1008.0,39.2,0.14786328813741856,0.11339359949008301,12.07877790382091,1.000607302699791,1958.4,-2.0967024476853413,-8.358547091768637,-48.529411764705884
