dataset,detector,detector_category,seed,scenario,n_eval,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,66,injected_10pct,42,4,4,34,0,4,8,0.5,1.0,0.6666666666666666,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,66,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,66,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,77,injected_10pct,42,4,5,33,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,77,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,77,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,88,injected_10pct,42,4,5,33,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,88,injected_5pct,42,2,3,37,0,2,5,0.4,1.0,0.5714285714285714,0.925,0.075,0.9625,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,88,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,99,injected_10pct,42,4,4,34,0,4,8,0.5,1.0,0.6666666666666666,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,99,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,99,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,110,injected_10pct,52,5,8,39,0,5,13,0.38461538461538464,1.0,0.5555555555555556,0.8297872340425532,0.1702127659574468,0.9148936170212766,applicable
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,110,injected_5pct,52,3,10,39,0,3,13,0.23076923076923078,1.0,0.375,0.7959183673469388,0.20408163265306123,0.8979591836734694,applicable
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,110,proxy_robust_z,52,6,0,41,5,11,6,1.0,0.5454545454545454,0.7058823529411765,1.0,0.0,0.7727272727272727,applicable
