dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,n_estimators,max_depth,learning_rate,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,XGBoost,33,proxy_robust_z,52,0.25504414299985,0.0004619763269514666,179571,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,44,forecast_original,52,0.08518123399971955,0.0004351303461694792,179843,0.42912499258615805,200,2,0.03,0.7219745048866498,0.381654495465809,10.206395190683166,0.8590096432577148,0.8590096432577148,0,9,,,,forecast_only
ilinet,XGBoost,44,injected_5pct,52,0.08518123399971955,0.00045521867308742425,179843,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,44,injected_10pct,52,0.08518123399971955,0.0004366820960950253,179843,0.42912499258615805,200,2,0.03,,,,,,5,13,0.38461538461538464,1.0,0.5555555555555556,applicable
ilinet,XGBoost,44,proxy_robust_z,52,0.08518123399971955,0.0004267962884271653,179843,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,55,forecast_original,52,0.10169155099993077,0.00045731725001237815,179367,0.42912499258615805,200,2,0.03,0.7033103140920315,0.3728899094229803,9.963303248815272,0.8662050692561365,0.8662050692561365,0,9,,,,forecast_only
ilinet,XGBoost,55,injected_5pct,52,0.10169155099993077,0.0004437154615551173,179367,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,55,injected_10pct,52,0.10169155099993077,0.00043879017311190604,179367,0.42912499258615805,200,2,0.03,,,,,,5,13,0.38461538461538464,1.0,0.5555555555555556,applicable
ilinet,XGBoost,55,proxy_robust_z,52,0.10169155099993077,0.0004807930769349976,179367,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,66,forecast_original,52,0.08288258499987933,0.000444973807720299,179367,0.42912499258615805,200,2,0.03,0.697467260485706,0.36935578334956964,9.878402452027299,0.8684189526228405,0.8684189526228405,0,10,,,,forecast_only
ilinet,XGBoost,66,injected_5pct,52,0.08288258499987933,0.0004279785961741184,179367,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,66,injected_10pct,52,0.08288258499987933,0.00048803169233206764,179367,0.42912499258615805,200,2,0.03,,,,,,5,14,0.2857142857142857,0.8,0.42105263157894735,applicable
ilinet,XGBoost,66,proxy_robust_z,52,0.08288258499987933,0.00043323238462387683,179367,0.42912499258615805,200,2,0.03,,,,,,11,10,0.9,0.8181818181818182,0.8571428571428571,applicable
ilinet,XGBoost,77,forecast_original,52,0.07996777000016664,0.0004369848653945715,179571,0.42912499258615805,200,2,0.03,0.6738469749508496,0.36038440119325477,9.803476056761854,0.8771802377438648,0.8771802377438648,0,9,,,,forecast_only
ilinet,XGBoost,77,injected_5pct,52,0.07996777000016664,0.00043475421155282954,179571,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,77,injected_10pct,52,0.07996777000016664,0.0004393439999935603,179571,0.42912499258615805,200,2,0.03,,,,,,5,12,0.3333333333333333,0.8,0.47058823529411764,applicable
ilinet,XGBoost,77,proxy_robust_z,52,0.07996777000016664,0.00043341255770183826,179571,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,88,forecast_original,52,0.07847980299993651,0.0004318897692358475,179299,0.42912499258615805,200,2,0.03,0.7196165735556631,0.38770154560591863,10.457785181639018,0.8599290737978875,0.8599290737978875,0,10,,,,forecast_only
ilinet,XGBoost,88,injected_5pct,52,0.07847980299993651,0.00044098759615105967,179299,0.42912499258615805,200,2,0.03,,,,,,3,17,0.17647058823529413,1.0,0.3,applicable
ilinet,XGBoost,88,injected_10pct,52,0.07847980299993651,0.0004516733269541034,179299,0.42912499258615805,200,2,0.03,,,,,,5,13,0.3076923076923077,0.8,0.4444444444444444,applicable
ilinet,XGBoost,88,proxy_robust_z,52,0.07847980299993651,0.00048201378845428384,179299,0.42912499258615805,200,2,0.03,,,,,,11,10,0.9,0.8181818181818182,0.8571428571428571,applicable
ilinet,XGBoost,99,forecast_original,52,0.08174135399985971,0.0004292928461451923,179435,0.42912499258615805,200,2,0.03,0.6861522072248284,0.36975335411761184,9.980550036846376,0.8726536165828,0.8726536165828,0,9,,,,forecast_only
ilinet,XGBoost,99,injected_5pct,52,0.08174135399985971,0.0004443752115741098,179435,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
ilinet,XGBoost,99,injected_10pct,52,0.08174135399985971,0.0007980744999958216,179435,0.42912499258615805,200,2,0.03,,,,,,5,12,0.3333333333333333,0.8,0.47058823529411764,applicable
ilinet,XGBoost,99,proxy_robust_z,52,0.08174135399985971,0.0005233757307136189,179435,0.42912499258615805,200,2,0.03,,,,,,11,9,1.0,0.8181818181818182,0.9,applicable
ilinet,XGBoost,110,forecast_original,52,0.07379918299966448,0.0004963009230585577,179503,0.42912499258615805,200,2,0.03,0.7037856426709705,0.37642145212828937,10.230393931887509,0.866024158941803,0.866024158941803,0,9,,,,forecast_only
ilinet,XGBoost,110,injected_5pct,52,0.07379918299966448,0.0004639343269270914,179503,0.42912499258615805,200,2,0.03,,,,,,3,16,0.1875,1.0,0.3157894736842105,applicable
